Model,Accuracy,Macro F1,Macro Precision,Macro Recall
Logistic Regression,0.9761904761904762,0.983739837398374,0.9878048780487804,0.9878048780487804
Decision Tree,0.9761904761904762,0.983739837398374,0.9878048780487804,0.9878048780487804
Random Forest,0.9761904761904762,0.983739837398374,0.9878048780487804,0.9878048780487804
XGBoost,0.9761904761904762,0.983739837398374,0.9878048780487804,0.9878048780487804
MLP (Neural Net),0.9761904761904762,0.9837398373983739,0.9878048780487805,0.9878048780487805
